                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.222,                 8.9003,                0.70417,                0.92154,                 1.2062,                0.97413,                      1,                0.99259,                0.77873,                0.01879,                 0.0193,                0.00229,                 0.0006,                0.83278,                 8.1828,                0.65929,                0.50721,                0.97401,             0.00066194,             0.00066194,             0.00066194
                      2,                0.96096,                 7.7621,                0.67001,                0.61121,                 1.0592,                0.97324,                0.97719,                0.99252,                0.77582,                0.03913,                 0.0386,                0.00279,                0.00062,                0.81192,                 7.6724,                0.63348,                0.54491,                0.95787,              0.0013023,              0.0013023,              0.0013023
                      3,                0.90766,                 7.3482,                0.65142,                0.59989,                 1.0399,                0.97355,                0.96861,                0.98861,                 0.7605,                 0.0452,                0.04386,                0.00318,                0.00066,                0.83592,                 7.3799,                0.61595,                0.73538,                0.97786,              0.0019163,              0.0019163,              0.0019163
                      4,                0.87379,                 7.1244,                0.63468,                0.57066,                 1.0275,                0.97389,                0.99298,                0.99424,                0.84414,                0.07609,                0.07368,                0.00843,                0.00162,                0.62706,                 6.9723,                0.60084,                0.51551,                0.90436,              0.0018812,              0.0018812,              0.0018812
                      5,                0.81654,                 6.9278,                0.62464,                0.52798,                 1.0183,                0.98975,                0.99474,                0.99495,                0.85211,                0.09308,                0.08947,                0.01459,                  0.003,                0.60143,                 7.0015,                0.59566,                0.39163,                0.88196,              0.0018812,              0.0018812,              0.0018812
                      6,                0.78485,                 6.8191,                0.61228,                0.52055,                 1.0014,                0.99581,                0.99649,                0.99399,                0.85547,                0.06394,                0.06316,                0.01087,                0.00231,                0.61595,                  7.012,                0.59893,                0.38994,                0.87456,              0.0018416,              0.0018416,              0.0018416
                      7,                0.75552,                 6.6825,                0.60401,                0.49489,                0.97976,                0.99792,                0.99649,                  0.995,                0.87647,                0.09665,                0.09649,                0.01602,                0.00368,                0.54761,                 6.7747,                0.59304,                0.38198,                0.86547,               0.001802,               0.001802,               0.001802
                      8,                0.72301,                 6.6411,                0.59949,                0.47226,                  0.973,                0.99753,                      1,                0.99498,                0.90218,                0.12647,                0.12632,                0.02556,                0.00595,                0.48875,                 6.7274,                0.59239,                0.34302,                 0.8401,              0.0017624,              0.0017624,              0.0017624
                      9,                0.70684,                  6.558,                0.59664,                0.45226,                0.96641,                0.98421,                0.98391,                0.99465,                0.85276,                0.10832,                0.10702,                0.01777,                0.00477,                0.60301,                 6.6746,                0.58898,                0.42292,                 0.8826,              0.0017228,              0.0017228,              0.0017228
                     10,                0.68822,                 6.4291,                0.58099,                 0.4465,                0.95996,                0.99931,                      1,                  0.995,                0.85259,                0.11985,                 0.1193,                0.02635,                0.00648,                0.62573,                 6.5276,                0.57958,                0.35693,                 0.8724,              0.0016832,              0.0016832,              0.0016832
                     11,                0.68914,                 6.4287,                0.58057,                0.44195,                0.95928,                0.99955,                      1,                  0.995,                0.89726,                0.11171,                0.11053,                0.02314,                0.00556,                0.49446,                 6.5177,                 0.5796,                  0.327,                0.83786,              0.0016436,              0.0016436,              0.0016436
                     12,                0.65707,                 6.3249,                0.57439,                0.42445,                0.94663,                0.99791,                      1,                0.99496,                0.89758,                0.13012,                0.12982,                0.02618,                0.00663,                0.47667,                 6.5094,                 0.5783,                0.31516,                0.83767,               0.001604,               0.001604,               0.001604
                     13,                0.62776,                 6.4013,                0.57799,                0.41337,                0.93552,                0.99394,                      1,                0.99493,                 0.9217,                0.12038,                0.12105,                0.03701,                0.01048,                0.41161,                 6.4765,                0.57589,                0.31046,                0.81599,              0.0015644,              0.0015644,              0.0015644
                     14,                0.62141,                 6.3141,                0.57003,                0.41428,                 0.9357,                0.99774,                      1,                  0.995,                0.92357,                0.16455,                0.16491,                0.06338,                 0.0186,                 0.4318,                 6.3182,                0.57166,                0.29437,                0.82443,              0.0015248,              0.0015248,              0.0015248
                     15,                0.60635,                  6.209,                0.57278,                0.39956,                 0.9309,                0.99981,                      1,                  0.995,                0.91258,                0.15085,                0.15088,                0.04516,                0.01195,                0.43833,                  6.294,                0.57022,                0.29394,                0.82076,              0.0014852,              0.0014852,              0.0014852
                     16,                0.60055,                 6.1913,                0.56491,                0.39787,                0.93338,                0.99993,                      1,                  0.995,                0.92269,                0.15853,                0.15789,                0.04881,                0.01187,                0.41632,                 6.2835,                0.57084,                0.29506,                0.81804,              0.0014456,              0.0014456,              0.0014456
                     17,                0.60849,                 6.1816,                0.56155,                0.39964,                0.93273,                0.99982,                      1,                  0.995,                0.92456,                0.19667,                0.19649,                0.08488,                0.02291,                 0.4076,                 6.1926,                0.57241,                0.28358,                0.81441,               0.001406,               0.001406,               0.001406
