                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1175,                 7.4563,                0.67616,                0.82319,                 1.1216,                0.99286,                 0.9951,                0.99463,                0.83165,                0.57878,                0.53488,                  0.371,                0.08513,                 0.6919,                 4.9166,                0.53859,                0.47281,                 0.8867,             0.00066197,             0.00066197,             0.00066197
                      2,                0.88631,                 4.3889,                0.56678,                0.60075,                 1.0158,                0.94404,                0.99597,                0.98138,                0.79929,                0.85461,                0.88551,                0.83504,                0.33343,                0.71226,                 2.6147,                0.42902,                0.50485,                0.90991,              0.0013023,              0.0013023,              0.0013023
                      3,                 0.8652,                 3.3766,                0.51747,                0.57684,                 1.0045,                 0.9857,                0.98211,                 0.9944,                0.83469,                0.92347,                0.90877,                0.87846,                0.39494,                0.70083,                 2.2214,                0.40251,                0.58197,                0.89344,              0.0019163,              0.0019163,              0.0019163
                      4,                0.85145,                 2.8231,                0.49919,                0.55635,                0.99609,                0.99147,                0.99821,                  0.995,                0.85139,                0.97042,                0.96243,                0.97111,                0.51251,                0.63229,                 1.6904,                0.38117,                0.42646,                0.87968,              0.0018812,              0.0018812,              0.0018812
                      5,                0.82845,                 2.5042,                0.48899,                0.53407,                0.98962,                0.99866,                0.98569,                0.99495,                0.82695,                0.97385,                0.96064,                0.96062,                0.53625,                0.69343,                 1.6674,                0.37573,                0.54179,                0.90178,              0.0018812,              0.0018812,              0.0018812
                      6,                0.77122,                 2.2465,                0.47914,                0.51068,                0.97505,                0.99077,                0.99463,                 0.9948,                0.87963,                0.97635,                0.98032,                0.98523,                0.65783,                0.56741,                 1.3006,                0.36943,                0.40523,                0.86303,              0.0018416,              0.0018416,              0.0018416
                      7,                0.73468,                 2.1134,                0.46294,                0.48932,                0.95775,                0.99489,                0.99821,                0.99491,                0.87521,                0.98393,                0.98598,                0.98498,                0.67743,                0.53745,                 1.2132,                0.35206,                0.38684,                0.85101,               0.001802,               0.001802,               0.001802
                      8,                0.71586,                 1.9547,                0.44732,                0.47118,                0.95072,                0.99655,                0.99821,                0.99493,                0.88781,                 0.9888,                0.98927,                0.99366,                0.71583,                0.50162,                 1.0597,                0.34123,                 0.3777,                0.83918,              0.0017624,              0.0017624,              0.0017624
                      9,                0.68721,                 1.7986,                0.43323,                0.45772,                0.94003,                0.99805,                      1,                  0.995,                0.87531,                0.99208,                0.99106,                 0.9936,                 0.6937,                0.55235,                 1.1207,                0.33461,                0.37451,                0.85633,              0.0017228,              0.0017228,              0.0017228
                     10,                0.67327,                 1.7017,                0.41683,                0.43978,                0.93927,                 0.9996,                      1,                  0.995,                0.90549,                0.99602,                0.99642,                0.99471,                0.78665,                0.47491,                0.89607,                0.33056,                0.31906,                0.83087,              0.0016832,              0.0016832,              0.0016832
                     11,                 0.6466,                 1.6152,                0.40392,                0.42923,                0.92532,                0.99785,                      1,                  0.995,                0.88947,                 0.9925,                0.99463,                0.99471,                0.79726,                0.51023,                0.88085,                0.31869,                 0.3349,                0.83921,              0.0016436,              0.0016436,              0.0016436
                     12,                0.64988,                   1.54,                0.39955,                0.41983,                 0.9218,                0.99969,                      1,                  0.995,                0.90186,                 0.9979,                0.99821,                0.99471,                0.80204,                0.44937,                 0.7887,                0.30952,                0.32885,                 0.8263,               0.001604,               0.001604,               0.001604
                     13,                0.63702,                 1.4712,                0.38447,                0.40534,                0.91911,                0.99879,                      1,                  0.995,                0.89379,                0.99521,                0.99642,                0.99437,                0.81399,                0.52174,                0.75968,                0.31049,                0.32747,                0.84014,              0.0015644,              0.0015644,              0.0015644
                     14,                0.60113,                 1.4061,                0.37891,                0.39116,                0.90964,                0.99978,                      1,                  0.995,                0.92213,                 0.9962,                0.99642,                  0.995,                0.81856,                0.41244,                0.74784,                0.30837,                0.29508,                 0.8142,              0.0015248,              0.0015248,              0.0015248
                     15,                0.60615,                 1.3492,                0.37684,                0.39665,                0.91225,                0.99942,                      1,                  0.995,                0.90906,                0.99942,                      1,                  0.995,                0.77898,                0.46698,                0.83194,                0.31039,                0.30152,                0.82033,              0.0014852,              0.0014852,              0.0014852
                     16,                 0.5833,                 1.3216,                0.37101,                0.39209,                0.91216,                0.99894,                      1,                  0.995,                0.89894,                0.99894,                      1,                  0.995,                0.78962,                0.46872,                0.72187,                0.30201,                0.36654,                0.82176,              0.0014456,              0.0014456,              0.0014456
                     17,                0.57171,                 1.2535,                0.36438,                0.38117,                0.90197,                0.99911,                      1,                  0.995,                0.92736,                0.99551,                0.99642,                0.99369,                0.83162,                0.40163,                0.65076,                0.29723,                0.28251,                0.81162,               0.001406,               0.001406,               0.001406
                     18,                0.55952,                 1.2002,                0.36233,                0.37696,                0.89471,                0.99967,                      1,                  0.995,                 0.9395,                 0.9943,                0.99463,                0.99475,                0.83221,                0.36809,                0.64975,                0.29711,                0.27682,                0.80198,              0.0013664,              0.0013664,              0.0013664
                     19,                0.56523,                 1.1938,                0.35688,                0.37231,                0.89718,                0.99981,                      1,                  0.995,                0.95476,                0.99981,                      1,                  0.995,                 0.8651,                0.34378,                0.56957,                0.28753,                 0.2643,                0.79838,              0.0013268,              0.0013268,              0.0013268
                     20,                 0.5467,                 1.1176,                0.35338,                0.36036,                0.89209,                0.99951,                      1,                  0.995,                0.93809,                0.99951,                      1,                  0.995,                0.85802,                0.38384,                0.58662,                0.28768,                0.27707,                0.80559,              0.0012872,              0.0012872,              0.0012872
                     21,                0.54224,                 1.1904,                0.35509,                0.36184,                0.89242,                 0.9985,                      1,                  0.995,                0.92648,                 0.9985,                      1,                  0.995,                0.86581,                0.42626,                0.59458,                0.29068,                0.28096,                0.80861,              0.0012476,              0.0012476,              0.0012476
                     22,                0.53366,                 1.1071,                0.34926,                0.35698,                0.88939,                0.99987,                      1,                  0.995,                0.94229,                0.99987,                      1,                  0.995,                0.86079,                  0.373,                0.58542,                0.28389,                0.26748,                0.80155,               0.001208,               0.001208,               0.001208
                     23,                0.52312,                 1.0475,                0.34405,                0.35093,                0.88543,                0.99982,                      1,                  0.995,                 0.9339,                0.99804,                0.99821,                0.99498,                0.87216,                 0.3793,                0.54556,                0.28149,                0.25737,                0.80121,              0.0011684,              0.0011684,              0.0011684
                     24,                0.51521,                 1.0495,                0.33882,                0.34653,                0.88603,                0.99988,                      1,                  0.995,                0.93164,                0.99988,                      1,                  0.995,                0.85582,                0.40946,                0.55561,                0.28051,                0.26854,                 0.8029,              0.0011288,              0.0011288,              0.0011288
                     25,                 0.4938,                0.99509,                0.34037,                0.33613,                 0.8731,                0.99988,                      1,                  0.995,                0.95523,                0.99988,                      1,                  0.995,                 0.8873,                0.34911,                0.53137,                0.27409,                0.24829,                0.79618,              0.0010892,              0.0010892,              0.0010892
                     26,                0.49159,                0.97421,                0.33633,                0.33229,                0.87609,                0.99987,                      1,                  0.995,                 0.9467,                0.99987,                      1,                  0.995,                0.88508,                0.36533,                0.49738,                0.27475,                0.25121,                0.79502,              0.0010496,              0.0010496,              0.0010496
                     27,                0.46949,                0.91723,                0.32832,                0.32354,                 0.8661,                0.99987,                      1,                  0.995,                0.96625,                0.99987,                      1,                  0.995,                0.91537,                 0.3062,                 0.4613,                0.27358,                0.23844,                0.78659,                0.00101,                0.00101,                0.00101
                     28,                0.47588,                0.93131,                0.33601,                0.32856,                0.87339,                0.99968,                      1,                  0.995,                0.95328,                0.99968,                      1,                  0.995,                0.88538,                 0.3341,                 0.4703,                0.27412,                0.25294,                 0.7923,              0.0009704,              0.0009704,              0.0009704
                     29,                0.47664,                0.88165,                0.32928,                0.32335,                0.87542,                0.99982,                      1,                  0.995,                0.95627,                0.99982,                      1,                  0.995,                0.89439,                0.31582,                0.45315,                0.26628,                0.25488,                0.78924,              0.0009308,              0.0009308,              0.0009308
                     30,                0.46757,                 0.8691,                0.32694,                0.31737,                0.87396,                0.99983,                      1,                  0.995,                0.96274,                0.99983,                      1,                  0.995,                0.89697,                0.31166,                0.43473,                0.26809,                0.24288,                0.78676,              0.0008912,              0.0008912,              0.0008912
                     31,                0.45383,                0.84382,                0.32341,                0.31259,                0.86479,                0.99987,                      1,                  0.995,                 0.9347,                0.99987,                      1,                  0.995,                0.91531,                0.39144,                0.42365,                0.26472,                0.25722,                 0.7999,              0.0008516,              0.0008516,              0.0008516
                     32,                0.45008,                0.85183,                0.32262,                0.30824,                0.86874,                0.99988,                      1,                  0.995,                0.97345,                0.99988,                      1,                  0.995,                0.92567,                0.29475,                0.40484,                0.26405,                0.22346,                0.78232,               0.000812,               0.000812,               0.000812
                     33,                0.44875,                 0.8124,                0.32479,                0.30542,                0.86728,                0.99983,                      1,                  0.995,                0.96522,                0.99983,                      1,                  0.995,                0.91331,                0.30928,                0.41289,                0.26336,                0.22011,                0.78453,              0.0007724,              0.0007724,              0.0007724
                     34,                0.43928,                0.78329,                0.32131,                0.30203,                0.86195,                0.99986,                      1,                  0.995,                0.96084,                0.99986,                      1,                  0.995,                0.93331,                0.32241,                0.38061,                0.26163,                0.21803,                0.78707,              0.0007328,              0.0007328,              0.0007328
                     35,                0.43194,                0.77476,                0.32082,                0.30042,                0.86456,                0.99984,                      1,                  0.995,                0.97116,                0.99984,                      1,                  0.995,                0.92703,                0.29543,                 0.3887,                  0.262,                0.21685,                0.78362,              0.0006932,              0.0006932,              0.0006932
                     36,                0.43021,                0.76454,                0.32129,                0.29574,                0.86103,                0.99987,                      1,                  0.995,                0.97608,                0.99987,                      1,                  0.995,                0.92188,                0.27562,                0.37038,                0.25995,                0.20529,                0.78028,              0.0006536,              0.0006536,              0.0006536
                     37,                0.41834,                0.75476,                0.31865,                0.28764,                0.85705,                0.99989,                      1,                  0.995,                0.98007,                0.99989,                      1,                  0.995,                0.94622,                0.28029,                0.35157,                0.25698,                0.20867,                0.77972,               0.000614,               0.000614,               0.000614
                     38,                0.42002,                0.72306,                0.31541,                0.28635,                0.85886,                0.99988,                      1,                  0.995,                0.98015,                0.99988,                      1,                  0.995,                0.94196,                0.26784,                0.35656,                0.26101,                0.20028,                0.77675,              0.0005744,              0.0005744,              0.0005744
                     39,                0.40596,                 0.7232,                0.31523,                0.28178,                0.85694,                 0.9999,                      1,                  0.995,                0.97826,                 0.9999,                      1,                  0.995,                0.94714,                0.27578,                0.35293,                0.25782,                0.20551,                0.77801,              0.0005348,              0.0005348,              0.0005348
                     40,                0.39727,                0.66193,                 0.3103,                 0.2773,                0.85394,                0.99989,                      1,                  0.995,                0.98596,                0.99989,                      1,                  0.995,                0.94619,                0.25697,                0.34454,                0.25752,                0.19848,                0.77515,              0.0004952,              0.0004952,              0.0004952
                     41,                0.29998,                0.36655,                0.25438,                0.22065,                0.79192,                0.99988,                      1,                  0.995,                0.98598,                0.99988,                      1,                  0.995,                0.95841,                0.25147,                0.31511,                  0.249,                0.20142,                0.77484,              0.0004556,              0.0004556,              0.0004556
                     42,                0.28996,                0.34101,                0.24835,                0.21618,                0.78864,                0.99989,                      1,                  0.995,                0.98922,                0.99989,                      1,                  0.995,                0.96267,                0.23632,                0.29224,                 0.2428,                0.19317,                0.77296,               0.000416,               0.000416,               0.000416
                     43,                0.27236,                0.31904,                0.24339,                0.20703,                0.78687,                0.99989,                      1,                  0.995,                0.98976,                0.99989,                      1,                  0.995,                0.96191,                0.22703,                0.27617,                0.23779,                0.18539,                  0.771,              0.0003764,              0.0003764,              0.0003764
                     44,                0.26369,                0.31191,                0.24081,                0.20398,                0.78853,                 0.9999,                      1,                  0.995,                0.99116,                 0.9999,                      1,                  0.995,                  0.971,                0.22183,                0.27118,                0.23697,                0.17924,                0.76988,              0.0003368,              0.0003368,              0.0003368
                     45,                   0.25,                  0.299,                0.23926,                0.19754,                0.78033,                0.99989,                      1,                  0.995,                0.99008,                0.99989,                      1,                  0.995,                0.96985,                0.21831,                0.26829,                0.23464,                0.17675,                0.76869,              0.0002972,              0.0002972,              0.0002972
                     46,                0.24214,                0.28477,                0.23585,                0.19069,                0.77668,                 0.9999,                      1,                  0.995,                0.99196,                 0.9999,                      1,                  0.995,                0.96857,                0.20794,                0.26114,                0.23378,                0.17161,                0.76737,              0.0002576,              0.0002576,              0.0002576
                     47,                0.23117,                0.27754,                0.23548,                0.18634,                0.77514,                 0.9999,                      1,                  0.995,                0.99201,                 0.9999,                      1,                  0.995,                0.97321,                0.20812,                0.25367,                0.23176,                0.17379,                0.76665,               0.000218,               0.000218,               0.000218
                     48,                0.22511,                0.27446,                0.23501,                0.17912,                0.77934,                 0.9999,                      1,                  0.995,                0.99191,                 0.9999,                      1,                  0.995,                0.97341,                0.19951,                0.24578,                0.22952,                0.16354,                0.76604,              0.0001784,              0.0001784,              0.0001784
                     49,                0.21623,                0.26624,                0.23574,                0.17368,                0.77762,                 0.9999,                      1,                  0.995,                0.99208,                 0.9999,                      1,                  0.995,                0.97311,                0.19686,                0.24883,                0.23044,                0.15865,                0.76508,              0.0001388,              0.0001388,              0.0001388
                     50,                0.21114,                0.26419,                0.23338,                0.17029,                 0.7741,                 0.9999,                      1,                  0.995,                0.99288,                 0.9999,                      1,                  0.995,                0.97494,                0.19476,                0.23607,                0.22957,                0.15782,                0.76501,               9.92e-05,               9.92e-05,               9.92e-05
