                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2283,                  8.555,                0.70224,                0.97613,                 1.1807,                0.98905,                0.97122,                0.99347,                0.67503,                0.22816,                0.22302,                0.08233,                0.01067,                 1.2092,                 6.8631,                0.64055,                0.67677,                 1.1124,             0.00065728,             0.00065728,             0.00065728
                      2,                 0.9545,                 5.8164,                0.63262,                0.64157,                  1.036,                0.97077,                0.98561,                0.99112,                0.78273,                0.50407,                0.51799,                0.34523,                0.08331,                0.83263,                 5.2257,                0.50141,                0.73018,                0.95737,              0.0012715,              0.0012715,              0.0012715
                      3,                0.92864,                 4.6024,                0.56672,                0.64049,                  1.027,                0.97841,                0.97803,                  0.994,                 0.7594,                0.73618,                0.70144,                0.59192,                0.19155,                0.89675,                 3.7008,                0.44535,                0.63655,                0.98392,               0.001833,               0.001833,               0.001833
                      4,                 0.9093,                 3.9003,                0.53531,                0.60257,                 1.0248,                0.99633,                0.97649,                0.99448,                0.83649,                0.88745,                0.85612,                0.81738,                0.33047,                0.70549,                 2.7543,                0.43066,                0.52995,                0.91083,              0.0017624,              0.0017624,              0.0017624
                      5,                0.89733,                 3.2585,                0.51543,                0.58066,                 1.0191,                0.99912,                 0.9964,                  0.995,                0.82396,                0.95576,                0.93525,                0.92978,                 0.5113,                0.69728,                 1.9274,                0.40104,                0.43177,                 0.9127,              0.0017624,              0.0017624,              0.0017624
                      6,                0.83761,                 2.9076,                0.50034,                0.53895,                0.98734,                0.99513,                 0.9964,                  0.995,                0.87149,                0.94185,                0.94245,                0.91705,                0.49981,                0.58883,                 1.8024,                0.39248,                0.41073,                0.87274,              0.0016832,              0.0016832,              0.0016832
                      7,                0.79049,                 2.5628,                0.49812,                0.50764,                0.96321,                0.99259,                      1,                0.99496,                0.88151,                0.96041,                0.96763,                 0.9679,                0.58745,                0.54679,                 1.5358,                0.38767,                 0.4193,                0.85147,               0.001604,               0.001604,               0.001604
                      8,                0.78681,                 2.5297,                0.49211,                0.52879,                0.97509,                 0.9911,                      1,                0.99489,                0.86957,                0.97442,                0.95913,                0.96193,                0.57521,                0.54135,                 1.5548,                 0.3763,                0.38121,                0.85417,              0.0015248,              0.0015248,              0.0015248
                      9,                0.74117,                 2.2629,                0.48287,                0.49318,                0.95696,                0.99639,                0.99177,                0.99496,                0.87544,                0.97668,                0.97122,                0.97415,                0.65417,                0.56625,                 1.3077,                0.37696,                0.39039,                0.86294,              0.0014456,              0.0014456,              0.0014456
                     10,                0.76476,                 2.2287,                0.47544,                0.49311,                0.96959,                0.99277,                0.98796,                0.99479,                0.86121,                0.97832,                0.97377,                0.97926,                0.65437,                0.60317,                 1.3613,                0.37612,                0.41335,                0.87397,              0.0013664,              0.0013664,              0.0013664
