                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0438,                 8.6844,                0.71952,                0.76189,                 1.0792,                 0.9896,                 0.9949,                0.99472,                0.80057,                0.32852,                0.31359,                0.12248,                0.02194,                0.80914,                 6.4144,                0.68312,                0.50407,                0.90182,             0.00065753,             0.00065753,             0.00065753
                      2,                0.84139,                 5.6254,                 0.6341,                0.58783,                0.99466,                 0.9693,                0.97213,                0.99002,                0.74018,                0.47948,                0.45993,                0.24892,                0.06639,                0.97412,                 4.6249,                0.52154,                0.59176,                0.98413,               0.001298,               0.001298,               0.001298
                      3,                0.78792,                 4.3309,                0.55868,                0.55332,                0.97287,                0.97406,                0.99303,                0.99281,                0.78928,                0.76064,                 0.7308,                0.60809,                0.20983,                0.77578,                  3.439,                0.46211,                0.59562,                0.89878,               0.001912,               0.001912,               0.001912
                      4,                0.78036,                 3.6146,                 0.5283,                 0.5277,                0.97026,                0.99127,                0.98955,                0.99486,                0.87378,                0.88903,                0.86539,                0.82415,                0.39665,                0.53464,                 2.5456,                 0.4338,                 0.4265,                0.83886,              0.0018812,              0.0018812,              0.0018812
                      5,                0.77318,                 3.2055,                0.52638,                0.53698,                0.95948,                0.97573,                0.98048,                0.99088,                0.72073,                 0.8478,                0.83624,                0.73555,                0.22398,                0.95327,                  2.741,                0.41488,                 1.8585,                0.97971,              0.0018812,              0.0018812,              0.0018812
                      6,                0.72234,                 2.8447,                0.50728,                0.50923,                0.95427,                0.99652,                0.99893,                0.99497,                0.84759,                0.93031,                0.93028,                0.89398,                0.48071,                0.60631,                 1.8673,                0.40708,                0.44354,                0.83785,              0.0018416,              0.0018416,              0.0018416
                      7,                0.69381,                 2.6205,                0.50337,                0.48577,                0.94318,                0.99603,                      1,                  0.995,                0.90069,                0.96133,                0.95819,                0.95667,                0.62923,                0.48041,                 1.4977,                0.40207,                0.36755,                0.81779,               0.001802,               0.001802,               0.001802
                      8,                0.70904,                 2.4039,                0.50505,                 0.4901,                 0.9656,                      1,                0.99949,                  0.995,                0.90166,                0.98954,                0.98904,                0.98457,                0.68634,                 0.4635,                 1.2471,                0.39736,                0.42123,                0.80975,              0.0017624,              0.0017624,              0.0017624
                      9,                0.62558,                 2.1698,                0.49273,                 0.4504,                0.92482,                      1,                0.99595,                  0.995,                0.88883,                0.98251,                 0.9786,                0.98321,                0.66244,                0.52015,                 1.3347,                0.38701,                0.41689,                0.82144,              0.0017228,              0.0017228,              0.0017228
                     10,                0.65267,                 2.0398,                0.48637,                0.45234,                0.93234,                0.99301,                      1,                0.99497,                0.79336,                0.98244,                0.97489,                0.98496,                0.66694,                0.83083,                 1.2805,                0.39478,                0.47696,                0.91938,              0.0016832,              0.0016832,              0.0016832
                     11,                0.61998,                 1.8545,                0.48169,                0.42902,                0.92566,                0.99282,                      1,                  0.995,                0.89385,                0.98589,                0.99303,                0.99172,                0.71633,                0.49035,                 1.0499,                 0.3818,                0.35428,                0.81605,              0.0016436,              0.0016436,              0.0016436
                     12,                0.58459,                 1.8191,                0.47793,                0.41648,                0.91218,                0.99933,                      1,                  0.995,                0.91887,                0.99933,                      1,                  0.995,                0.70021,                0.42526,                 1.0459,                0.37834,                0.32362,                0.79885,               0.001604,               0.001604,               0.001604
                     13,                0.55496,                 1.7189,                0.46513,                0.39932,                0.89267,                0.99392,                      1,                0.99493,                0.89889,                0.99046,                0.99652,                0.99461,                0.73491,                0.46676,                0.93572,                0.36922,                0.33659,                0.80832,              0.0015644,              0.0015644,              0.0015644
                     14,                0.56174,                 1.7126,                0.46686,                0.40164,                 0.8991,                0.99994,                      1,                  0.995,                0.91489,                0.98947,                0.98955,                0.98071,                0.76165,                0.41456,                0.95003,                0.36599,                0.30805,                0.79434,              0.0015248,              0.0015248,              0.0015248
                     15,                0.55925,                 1.5651,                0.45821,                0.39071,                0.90343,                0.99959,                      1,                  0.995,                0.91688,                0.99611,                0.99652,                0.99493,                0.79799,                0.41289,                  0.775,                0.36452,                0.29472,                0.79268,              0.0014852,              0.0014852,              0.0014852
                     16,                0.58458,                 1.5349,                0.45821,                0.41238,                 0.9164,                0.99948,                      1,                  0.995,                0.91411,                0.99599,                0.99652,                 0.9928,                0.78933,                0.42141,                0.81417,                0.37041,                 0.3085,                0.78834,              0.0014456,              0.0014456,              0.0014456
                     17,                0.52667,                 1.5078,                0.44856,                 0.3861,                0.88917,                0.99994,                      1,                  0.995,                0.92061,                0.99994,                      1,                  0.995,                0.84851,                0.44227,                0.67529,                0.35524,                0.31381,                 0.8006,               0.001406,               0.001406,               0.001406
                     18,                0.48219,                 1.3717,                0.44107,                 0.3553,                0.88079,                0.99983,                      1,                  0.995,                0.92683,                0.99983,                      1,                  0.995,                 0.8229,                0.42011,                0.67944,                0.35245,                0.29274,                0.79389,              0.0013664,              0.0013664,              0.0013664
                     19,                0.49073,                 1.3523,                0.43742,                0.36023,                 0.8783,                      1,                0.99903,                  0.995,                0.93456,                      1,                0.99903,                  0.995,                0.82221,                0.35917,                0.66567,                0.34958,                0.28373,                0.77935,              0.0013268,              0.0013268,              0.0013268
                     20,                0.49603,                 1.3627,                0.43268,                0.36272,                 0.8879,                0.99973,                      1,                  0.995,                0.93096,                0.99973,                      1,                  0.995,                0.84691,                0.39787,                0.63607,                0.34718,                 0.2854,                0.78767,              0.0012872,              0.0012872,              0.0012872
                     21,                0.47055,                 1.3094,                0.42362,                0.34715,                0.88146,                0.99954,                      1,                  0.995,                0.94499,                0.99954,                      1,                  0.995,                0.83529,                0.35174,                0.61219,                0.34665,                 0.3264,                0.77894,              0.0012476,              0.0012476,              0.0012476
                     22,                0.46701,                 1.2314,                0.41697,                0.34412,                0.88001,                0.99966,                      1,                  0.995,                0.96197,                0.99966,                      1,                  0.995,                0.85875,                0.32296,                0.62639,                0.34067,                0.25653,                0.77396,               0.001208,               0.001208,               0.001208
                     23,                0.47016,                 1.3264,                0.42183,                0.34358,                0.87554,                0.99952,                      1,                  0.995,                0.96381,                0.99952,                      1,                  0.995,                0.84958,                0.31222,                0.58948,                 0.3363,                0.25912,                0.77093,              0.0011684,              0.0011684,              0.0011684
                     24,                0.47882,                 1.2519,                0.41204,                0.34117,                0.88119,                0.99961,                      1,                  0.995,                0.95649,                0.99961,                      1,                  0.995,                0.84103,                0.30831,                0.62288,                  0.334,                0.26235,                0.77367,              0.0011288,              0.0011288,              0.0011288
                     25,                0.48961,                 1.3333,                0.40404,                0.34936,                0.90191,                0.99934,                      1,                  0.995,                0.94455,                0.99585,                0.99652,                0.99162,                0.82761,                 0.3624,                 0.6388,                0.32857,                0.27216,                0.78127,              0.0010892,              0.0010892,              0.0010892
                     26,                0.44208,                 1.2124,                0.40423,                0.32875,                0.86437,                0.99972,                      1,                  0.995,                0.95397,                0.99972,                      1,                  0.995,                0.87995,                0.35641,                0.55364,                0.33127,                 0.2569,                0.78028,              0.0010496,              0.0010496,              0.0010496
                     27,                0.43175,                 1.1145,                0.39125,                 0.3166,                0.85677,                0.99974,                      1,                  0.995,                0.97249,                0.99974,                      1,                  0.995,                0.87609,                0.30152,                0.53991,                 0.3291,                  0.239,                0.76955,                0.00101,                0.00101,                0.00101
                     28,                0.43016,                 1.0975,                0.40016,                0.31909,                0.86773,                0.99974,                      1,                  0.995,                0.96643,                0.99974,                      1,                  0.995,                 0.8847,                0.30339,                 0.5389,                0.32421,                0.23705,                0.76768,              0.0009704,              0.0009704,              0.0009704
                     29,                0.43985,                 1.1242,                0.39215,                 0.3244,                0.86681,                0.99975,                      1,                  0.995,                0.97187,                0.99975,                      1,                  0.995,                0.90232,                0.29988,                0.48088,                0.32256,                0.23615,                0.76714,              0.0009308,              0.0009308,              0.0009308
                     30,                0.40589,                 1.0907,                0.39926,                0.30306,                0.86372,                0.99973,                      1,                  0.995,                0.98207,                0.99973,                      1,                  0.995,                0.88681,                0.26007,                0.52755,                0.32414,                0.22077,                0.75951,              0.0008912,              0.0008912,              0.0008912
                     31,                 0.4308,                 1.0618,                0.38797,                  0.319,                0.87981,                0.99977,                      1,                  0.995,                 0.9501,                0.99977,                      1,                  0.995,                0.88595,                 0.3305,                0.51255,                0.32643,                0.24286,                0.76776,              0.0008516,              0.0008516,              0.0008516
                     32,                0.41857,                  1.079,                0.38823,                0.31364,                0.87306,                0.99963,                      1,                  0.995,                0.97046,                0.99963,                      1,                  0.995,                0.90561,                0.30759,                0.46201,                0.32006,                0.22186,                0.76644,               0.000812,               0.000812,               0.000812
                     33,                0.39213,                 1.0044,                 0.3799,                0.29108,                0.85532,                0.99964,                      1,                  0.995,                0.97274,                0.99964,                      1,                  0.995,                0.89622,                0.27764,                0.45591,                0.32067,                 0.2218,                0.76267,              0.0007724,              0.0007724,              0.0007724
                     34,                0.38492,                0.99434,                 0.3818,                0.29463,                0.86374,                0.99975,                      1,                  0.995,                0.96341,                0.99975,                      1,                  0.995,                0.90543,                0.29853,                0.47781,                0.31815,                0.22814,                 0.7651,              0.0007328,              0.0007328,              0.0007328
